date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:15	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.213.delayed	(from https://www.mytrailmaps.net/Black-Hills-All-Vehicles/)
23:00:15	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.214.delayed	(from https://www.mytrailmaps.net/Bryant-Grove-Trail/)
23:00:15	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.215.delayed	(from https://www.mytrailmaps.net/Bryant-Grove-Trail/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.216.delayed	(from https://www.mytrailmaps.net/Flat-Nasty-Off-Road-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.217.delayed	(from https://www.mytrailmaps.net/Flat-Nasty-Off-Road-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.218.delayed	(from https://www.mytrailmaps.net/Golden-Mountain-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.219.delayed	(from https://www.mytrailmaps.net/Golden-Mountain-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.21a.delayed	(from https://www.mytrailmaps.net/Hatfield-McCoy-Trails-Bearwallow/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.21b.delayed	(from https://www.mytrailmaps.net/Hatfield-McCoy-Trails-Bearwallow/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.21c.delayed	(from https://www.mytrailmaps.net/Hatfield-McCoy-Trails-Warrior/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.21d.delayed	(from https://www.mytrailmaps.net/Hatfield-McCoy-Trails-Warrior/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.21e.delayed	(from https://www.mytrailmaps.net/Hawk-Pride-Off-Road/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.21f.delayed	(from https://www.mytrailmaps.net/Hawk-Pride-Off-Road/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.220.delayed	(from https://www.mytrailmaps.net/Hollerwood/)
